Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized)
p1022,-0.0771776,-0.886132,0.28615,0.663675,-0.389102,-0.260716,-0.610036,0.865732
p10220,-0.414653,0.208172,-0.14754,0.0955682,1.28874,-0.0859057,-0.062876,-0.888488
p10221,-1.96503,-0.367454,-0.163956,0.460416,0.221396,-0.104288,-0.170873,0.529272
p10222,-0.279977,2.11042,1.58675,1.58368,1.8764,1.60969,-2.91107,0.691733
p10223,-1.94661,-0.389024,-0.260604,-0.269701,-0.906246,-0.899195,-1.58941,0.402111
p10224,0.503516,-1.25357,0.287651,0.460773,-0.171566,0.0318927,1.20544,-0.624753
p10225,-0.654909,-0.758383,0.608923,-0.138233,-0.212108,-0.398498,-0.838528,1.11003
p10226,-0.637856,-0.80485,0.483914,-0.952743,-0.674674,0.45567,-0.503739,-0.405017
p10227,-1.14385,-0.610074,-0.114798,-7.55058e-05,0.0802507,-0.189201,0.361902,-0.221857
p10228,-0.789256,-0.220305,0.233291,-0.0524546,-0.617447,0.752064,-0.192205,0.643615
p10229,1.31341,-0.529733,0.564613,-1.66066,0.673924,-0.262001,1.20177,-0.483247
p1023,-0.471886,2.90012,2.07615,-0.687512,1.76794,-0.714284,2.41193,-0.564259
p10230,-0.91808,-0.232017,0.313892,0.435435,-1.26119,-1.10933,-0.0761275,-0.973683
p10231,0.163409,-0.182579,-0.522921,0.209831,0.0296453,0.195665,-0.547208,-0.773511
p10232,0.734764,-1.39355,0.428722,0.26638,0.154931,-0.0116652,0.185129,-0.957478
p10233,0.411543,1.38876,-2.30974,-0.67909,0.355368,0.684128,-0.710176,1.3183
p10234,-0.581052,0.706808,-0.301301,0.270404,-0.57547,0.172231,0.606206,0.643511
p10235,0.97839,-1.0524,0.870827,-0.364089,0.510941,-0.218251,0.491081,1.37496
p10236,-2.23998,0.396147,-0.147006,-0.121689,-0.00643183,-0.343509,0.311931,-0.897911
p10237,0.485913,-0.897841,0.957435,0.2057,-0.261973,-0.396641,-0.00827936,-0.251948
p10238,0.0150274,-0.357147,0.215004,1.11699,-1.38599,-0.556279,1.18741,-0.0278762
p10239,0.0766846,-0.896518,0.229771,-0.86698,-0.985863,0.00305918,-1.11427,0.152279
p1024,0.184554,-0.780974,0.133102,-0.0377576,-0.652204,0.125484,0.26021,0.150057
p10240,-0.589293,-0.510907,0.297539,0.331887,-0.214305,-0.307295,0.117575,0.675713
p10241,-0.670526,1.4636,-1.29383,-1.92064,0.16431,0.0630929,1.52625,0.524915
p10242,-0.386223,-0.487099,0.331628,-0.466231,0.718791,0.240236,-0.258015,0.476882
p10243,-0.751916,-0.615412,0.32422,0.729448,-0.689438,0.274299,0.486686,0.00893607
